"liver_S7"	"brain_S7"	"muscle_S7"	"heart_S7"	"kidney_S7"	"lung_S7"	"liver_S12"	"brain_S12"	"muscle_S12"	"heart_S12"	"kidney_S12"	"lung_S12"	"liver_S13"	"brain_S13"	"muscle_S13"	"heart_S13"	"kidney_S13"	"lung_S13"
"LOC100506274"	0	0	0	0	3	0	0	5	0	0	0	0	0	0	0	0	0	0
"LOC100506305"	0	3	0	0	160	10	0	13	0	0	190	3	0	10	0	0	200	3
"LOC100506314"	23	0	0	2	23	51	14	11	2	5	84	30	37	6	6	16	53	44
"LOC100506321"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"LOC100506343"	2	106	14	75	6	53	0	194	14	7	13	25	1	104	37	72	19	24
"LOC100506368"	45	12	8	38	21	9	36	14	31	10	21	5	14	2	27	32	10	3
"LOC100506384"	0	6	0	0	0	0	0	6	0	0	0	0	0	3	0	0	0	0
"LOC100506385"	0	0	1	5	10	16	4	2	4	10	21	19	52	5	3	17	8	22
"LOC100506388"	7	4	29	11	25	3	5	8	23	16	9	3	20	85	36	13	16	5
"LOC100506393"	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"LOC100506394"	10	79	15	69	34	40	1	107	10	11	206	53	8	30	25	59	47	44
"LOC100506403"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"LOC100506421"	0	201	3	1	374	0	0	239	0	0	537	0	0	159	5	0	233	0
"LOC100506422"	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
"LOC100506469"	7	21.26	7.28	13.59	23.71	27.34	9	34.07	13.05	10	36.37	8.44	6	39.96	14	17.27	34.3	10.86
"LOC100506472"	13.5	68.56	13	18.12	46	51.94	37.67	152.26	17.33	12.45	47	39.28	14.13	151.65	19.58	25.11	46.93	20
"LOC100506474"	0	10	2	10	10	3	0	23	0	9	31	2	3	61	4	8	10	1
"LOC100506497"	2	16	3	2	48	21	0	81	4	12	117	1	13	54	3	11	74	8
"LOC100506499"	7	5	4	4	8	40	13	5	4	3	11	37	9	11	2	3	5	58
"LOC100506548"	306	2087	647	414	687	597	166	1888	307	147	737	312	264	4446	654	298	620	550
"LOC100506585"	10	5	5	8	3	508	10	0	4	4	5	144	20	4	14	5	12	524
"LOC100506599"	12	12	0	3	135	22	13	70	1	4	69	17	20	12	4	2	117	16
"LOC100506639"	14	54	18	24	44	35	22	99	28	27	59	107	27	99	31	27	61	57
"LOC100506655"	0	0	0	0	7	0	0	0	0	0	3	0	0	1	0	0	12	0
"LOC100506688"	3	3	0	190	15	20	11	3	0	164	11	3	44	1	0	311	27	7
"LOC100506710"	1603	2399	646	1094	2175	2032	1989	2610	792	739	2348	1397	2269	2729	1247	1038	2461	2144
"LOC100506713"	21	34	38	21	91	40	26	71	28	17	55	50	34	86	43	23	117	37
"LOC100506714"	68	325	39	72	63	106	54	390	53	22	89	61	77	303	78	39	51	67
"LOC100506730"	33	107	48	45	117	53	35	182	70	11	76	22	29	200	63	28	92	34
"LOC100506746"	22	49	85	170	102	42	12	39	107	38	206	40	28	41	117	105	112	59
"LOC100506776"	4	0	1	3	3	77	1	1	0	1	4	29	27	0	5	11	9	63
"LOC100506795"	1	61	24	26	2	25	5	37	14	14	22	8	4	51	23	28	6	8
"LOC100506801"	0	0	0	1	1	0	0	2	0	0	0	4	0	2	0	1	0	6
"LOC100506804"	8	6	2	1	17	4	29	16	1	5	24	5	12	23	3	2	9	3
"LOC100506810"	6	0	1	4	10	13	6	1	7	8	32	3	2	3	33	4	16	10
"LOC100506834"	1	13	5	11	9	29	3	19	10	7	14	20	10	23	16	18	14	7
"LOC100506844"	9	281	89	118	122	154	5	322	81	19	153	46	19	339	144	44	120	91
"LOC100506895"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0
"LOC100506963"	45	16	5	19	59	25	51	31	5	6	36	18	27	51	22	9	45	16
"LOC100506990"	294	608.74	196	166	1069.74	947.84	172	1100.62	75	119	487	600	423	882.28	251	217.59	1181.86	904
"LOC100507003"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"LOC100507032"	29	166	28	19	28	44	3	219	17	5	37	18	15	113	40	21	53	30
"LOC100507053"	11	2	14	9	12	68	28	6	0	13	53	44	41	1	4	19	16	23
"LOC100507066"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100507091"	1	0	1	4	0	0	10	0	0	0	0	0	0	2	0	4	0	0
"LOC100507117"	3	12	3	5	3	32	15	50	6	15	12	32	6	9	1	20	6	29
"LOC100507140"	0	102	0	0	0	0	0	50	2	0	1	0	0	36	0	0	0	0
"LOC100507156"	0	18	0	7	9	9	1	27	4	11	18	34	2	6	1	11	18	24
"LOC100507173"	0	9	0	0	0	2	0	21	0	0	1	10	1	38	0	0	0	3
"LOC100507194"	0	18	0	0	2	0	0	29	0	0	1	0	0	45	0	0	0	0
"LOC100507205"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100507217"	309.09	1053.54	534.51	347.29	851.37	1085.95	206.71	746.71	377.92	278.84	1069.08	797.12	431.27	1974.7	653.47	392.94	721.97	1400.12
"LOC100507244"	16	3	0	5	15	32	51	19	1	8	31	11	24	21	3	12	18	25
"LOC100507250"	7	0	0	0	5	6	0	2	5	0	16	7	10	5	6	5	14	4
"LOC100507254"	0	3	0	3	1	0	0	4	0	1	2	0	0	0	0	1	0	4
"LOC100507266"	1	38	4	10	31	24	13	88	8	9	48	42	9	76	7	12	39	9
"LOC100507299"	21	18	10	7	39	37	36	32	3	2	58	22	34	48	10	9	46	32
"LOC100507300"	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
"LOC100507334"	17.81	1	8	0	5.7	0	6.35	1.29	9.25	0	0	6.65	2.64	1.52	0	0.11	8.16	0.66
"LOC100507346"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100507351"	0	474	0	23	13	10	4	1821	13	19	66	15	10	1	15	41	22	6
"LOC100507362"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"LOC100507373"	7	15	1	8	40	68	3	29	7	13	42	53	16	26	7	14	29	30
"LOC100507377"	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
"LOC100507384"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100507387"	4	90.03	0	4	18	8	0	393.38	2	4	5.08	13	11	284.51	0	12.9	18	21
"LOC100507389"	1066	0	0	1	0	1	646	0	0	0	0	1	614	0	0	0	0	0
"LOC100507391"	0	3	0	1	1	0	0	0	6	0	96	0	0	1	0	1	2	0
"LOC100507424"	3	1	6	1	16	9	4	7	3	2	15	10	5	0	0	4	6	17
"LOC100507443"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100507462"	10	6	2	6	8	12	2	18	2	5	9	10	18	6	2	4	7	7
"LOC100507463"	134	30	23	70	78	574	39	30	11	87	94	325	173	36	31	110	130	361
"LOC100507472"	17	14	3	4	3	1	111	20	4	3	8	4	48	12	1	9	2	3
"LOC100507489"	2	4	2	0	20	0	18	15	1	0	4	0	10	9	4	0	27	1
"LOC100507501"	5	2	3	4	14	5	24	10	5	1	7	4	10	4	5	5	23	0
"LOC100507537"	0	0	8358	2	34	0	0	0	7556	4	1	1	0	0	15086	13	44	0
"LOC100507547"	4	6	5	2	20	5	7	18	8	3	13	8	4	30	2	4	18	9
"LOC100507557"	93	483	37	121	205	122	34	479	86	62	188	96	79	367	107	120	188	102
"LOC100507564"	16	15	3	14	56	22	2	12	7	1	57	9	25	34	4	5	39	20
"LOC100507577"	498.58	161.23	64.31	219.81	153.06	202.78	664.69	313.39	86.72	166.06	253.69	190.23	474.84	487.46	84.24	198.73	169.64	227.34
"LOC100507584"	3	0	1	0	4	3	2	0	0	0	0	3	0	0	0	0	0	0
"LOC100507600"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100507602"	123	125	974	121	181	90	39	112	361	43	191	75	59	176	761	68	144	132
"LOC100507632"	0	2	22	18	0	362	2	0	23	38	2	259	0	0	65	25	1	257
"LOC100507634"	3	2	3	3	2	0	0	4	2	1	10	1	1	4	2	1	5	0
"LOC100507651"	0	8	2	0	291	0	68	6	0	0	136	2	0	2	0	0	203	2
"LOC100508120"	56.83	112	63	94	223.35	237.28	198	197.16	34.74	63	361.95	201	189	461.49	60	119	284.12	224
"LOC100527964"	11	11	4	20	56	48	34	70	9	9	43	63	28	119	12	27	102	40
"LOC100616530"	0	0	0	0	1	4	0	2	0	1	2	0	0	0	1	0	4	0
"LOC100630918"	12	87	27	13	34	20	14	126	38	13	82	17	10	215	65	23	45	43
"LOC100630923"	8.83	107.02	39.19	34.32	36.96	72.35	104.33	269.76	3.05	19.32	129.27	126.53	35.38	521.11	34.86	44.55	131.05	98.73
"LOC100631378"	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
"LOC100652739"	1	31	12	6	5	14	4	21	4	0	0	0	3	24	5	4	2	6
"LOC100652758"	16	12	15	7	25	25	75	34	57	17	115	43	12	28	25	3	25	18
"LOC100652768"	9	0	4	3	16	17	16	3	3	3	16	53	6	9	0	13	29	25
"LOC100652770"	10	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	1	0
"LOC100652772"	337	728	743	1406	655	391	277	578	1438	412	1011	301	359	557	1246	798	573	378
"LOC100652791"	0	0	0	0	2	0	0	0	0	0	8	0	0	0	0	0	1	0
"LOC100652824"	51	71	0	0	1	491	7	175	6	0	3	11	15	8	0	0	2	73
"LOC100652999"	0	0	0	0	1	244	0	0	0	0	0	151	0	153	0	0	0	452
"LOC100653515"	4	11	5	11	6	46	28	59	1	18	25	273	6	10	4	19	17	68
"LOC100862671"	110.56	141.72	53.48	22.34	229.29	347.6	118.09	134.34	58.88	126.61	310.36	69.73	107.67	177.17	130.26	99.35	165.93	476.11
"LOC100873065"	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0
"LOC100996255"	27	99	62	176	51	95	44	137	81	82	125	79	38	68	91	97	59	103
"LOC100996291"	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1
"LOC100996325"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"LOC100996455"	0	36	3	2	0	10	1	34	2	0	15	1	1	463	2	1	8	7
"LOC100996485"	2	0	4	1	2	2	0	5	11	0	2	0	2	0	6	0	1	0
"LOC100996634"	0	4	0	2	17	20	6	14	0	0	4	2	26	3	1	2	19	4
"LOC100996669"	0	0	0	0	5	0	0	0	0	0	0	0	0	311	1	3	3	0
"LOC101054525"	0	0	0	2	3	2	0	0	1	4	0	0	0	0	0	3	1	0
"LOC101059948"	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
"LOC101101776"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101241902"	0	0	2	0	5	7	4	0	0	0	3	12	5	0	0	0	3	12
"LOC101243545"	5	10	0	0	0	1	2	7	2	0	0	0	3	3	1	0	0	0
"LOC101409256"	4	6	1	0	7	0	9	16	12	5	4	5	7	17	1	2	8	1
"LOC101410533"	10	7	11	5	23	10	12	9	7	1	20	6	15	8	8	7	14	20
"LOC101448202"	0	2	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0
"LOC101559451"	0	0	1	1	1	0	0	0	0	0	0	0	0	0	2	0	1	0
"LOC113230"	24	97	7	16	159	61	39	130	8	8	162	42	36	229	8	28	236	57
"LOC113386"	358.83	685.86	402.92	259.04	479.22	572.87	270.05	918.43	215.29	161.36	526.97	475.06	269.18	972.06	428.63	181.48	504.44	746.61
"LOC115110"	12	3	12	28	80	160	55	18	15	25	74	392	50	3	18	62	72	204
"LOC116437"	0	12	0	0	4	0	0	65	0	0	4	0	0	0	0	0	0	0
"LOC143666"	21	53	13	8	18	29	16	54.01	11	3	52.07	15	10.25	207	23.83	4	35	26.03
"LOC145474"	12	12	2	1	19	20	18	91	0	5	13	16	25	22	0	9	29	15
"LOC145757"	0	22	0	1	3	6	1	13.66	0	0	4	2	3	18	0	2	3	3
"LOC145783"	44.94	122.94	29.5	21.23	64.32	63.19	46.53	124	18.82	15.81	98.84	93.01	76.36	99.13	38.82	42.52	54.85	70.6
"LOC145837"	188	40	7	0	625	36.25	178	46.44	2	0	23	0	365	32.54	2	0	558	14
"LOC145845"	0	0	0	0	2	0	0	2	0	2	6	3	0	0	2	0	2	5
"LOC146481"	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"LOC146513"	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
"LOC146880"	78.33	233.83	41.6	86.93	309.65	753.56	150.8	628.93	66.08	108.44	213.76	1164.09	148.18	638.95	54.64	175.36	306.43	607.48
"LOC147093"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC147646"	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	8
"LOC148413"	635	361	96	110	408	413	575	349	84	75	383	232	409	389	133	120	410	316
"LOC148696"	2	5	0	0	0	0	0	2	0	2	0	2	0	4	2	0	0	0
"LOC148709"	30	22	0	0	209	1	31	30	1	0	4	1	25	6	0	11	254	2
"LOC149086"	0	0	0	0	1	5	0	0	0	0	7	0	0	0	0	1	8	2
"LOC149134"	31	18	1	25	19	10	103	88	9	6	14	31	72	77	7	26	14	8
"LOC149373"	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0
"LOC149950"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC150381"	19	21	91	141	118	97	52	76	124	53	263	96	52	268	231	80	101	89
"LOC150568"	0	199	0	0	1	0	0	209	0	0	6	4	0	17	0	0	1	0
"LOC150622"	0	1887	1	169	0	11	0	2138	1	3	2	111	1	1087	0	43	0	67
"LOC150776"	103.8	188.93	95.17	172.3	121.3	381.8	377.84	506.42	167.75	158.38	267.8	548.12	202.2	600.97	117.54	258.08	215.66	333.29
"LOC150935"	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"LOC151009"	0	277.64	2	12.89	18.77	0	1.16	495.14	0	0	8.9	16.03	0	93.03	3.41	0	33.25	0
"LOC151121"	0	1	120	0	0	0	0	4	834	0	0	0	0	1	165	0	0	0
"LOC151171"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"LOC151174"	3	37	9	1	22	23	12	75	3	2	46	15	11	144	6	0	9	23
"LOC151475"	0	0	0	1	1	0	0	2	1	0	0	1	0	5	1	2	0	0
"LOC151484"	0	17	0	0	0	0	0	16	0	0	0	0	0	1	0	0	0	0
"LOC151760"	3	23	3	0	2	0	4	44	2	2	6	0	3	9	5	1	3	0
"LOC152225"	14	0	1	0	0	1	14	0	0	0	0	0	27	0	1	2	0	6
"LOC152578"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC152586"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC152742"	0	5	0	1	4	0	0	18	0	0	23	0	0	1	2	3	9	0
"LOC153684"	6	5	58	22	26	111	9	16	74	36	40	92	29	17	90	26	25	72
"LOC153910"	0	1	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0
"LOC154092"	6	19	0	0	4	19	1	5	0	0	2	4	4	7	1	1	10	171
"LOC154449"	0	1	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0
"LOC154761"	3.5	18.54	17.93	17.51	93.96	147.32	23.64	75.32	7.07	61.35	82.25	193.45	59.01	76.91	8.65	28.02	86.26	185.26
"LOC154872"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC155060"	12	42.28	44.83	12.85	41.19	67.62	70.15	200.06	36.6	15.41	58.63	140.5	33.58	152.57	35.7	13.39	49.65	41.15
"LOC157273"	224	0	3	1	2	1	258	0	1	0	0	1	141	0	0	0	2	0
"LOC157381"	0	1	0	33	6	12	0	8	0	1	2	0	0	2	0	10	5	8
"LOC158376"	9	5	11	51	16	98	5	13	16	83	54	93	17	14	24	75	20	42
"LOC158434"	0	4	1	0	1	5	14	19	0	0	0	2	12	114	0	0	0	1
"LOC158435"	0	0	0	1	0	0	2	8	0	1	0	0	0	7	0	0	0	0
"LOC161527"	0	0	0	0	0	0	0	0	0	0	0	1.42	0	0	0	0	0	0
"LOC1720"	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"LOC200726"	0	12	0	6	0	0	0	16	0	0	0	0	0	0	0	0	0	0
"LOC200772"	14	6	0	0	2	4	14	0	0	0	62	4	38	4	0	0	3	13
"LOC201651"	342	0	0	2	4	27	55	0	0	1	2	3	63	0	0	1	0	7
"LOC202181"	33.9	193.22	154.03	45.32	94	269.46	22.28	363.33	109.26	42.77	205.1	453.76	113.13	452.9	196.31	82.52	90.97	197.52
"LOC202781"	169	223	110	55	172	211	206	184	71	34	322	93	217	742	146	50	315	97
"LOC220729"	60.48	347.07	191.48	183.45	179.64	253.14	206.33	591.23	211.68	143.91	290.44	343.02	213.13	846.55	154.67	178.56	204.46	167.82
"LOC221122"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"LOC23117"	0	5.01	7.6	16.67	16.03	44.07	34.19	41.65	29.85	0	9.48	74.32	40.87	120.12	32.65	24.56	20.26	17.81
"LOC253039"	380.05	562.41	161.21	366.79	521.5	516.54	260.51	365.9	71.52	48.44	285.14	109.13	299.11	588.67	145.25	225	395.54	632.75
"LOC253044"	0	0	2	1	0	0	0	3	0	0	0	0	0	2	1	2	0	0
"LOC253573"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC254099"	0	0	0	0	14	5	3	0	0	0	4	3	0	0	0	0	22	3
"LOC254128"	15	92	73	72	106	95	36	101	50	46	182	82	40	216	71	61	86	65
"LOC254896"	3	0	1	1	26.97	6.19	13.22	2	0	5	36.5	11.63	3	5.55	1	3.24	24.25	7.25
"LOC255130"	0	0	0	0	0	2	0	3	1	3	0	1	0	0	0	1	0	0
"LOC255167"	4220	330	26	86	45	45	3164	396	59	9	145	20	2106	186	85	65	49	25
"LOC255654"	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0
"LOC256021"	2	2	0	1	10	5	1	8	0	1	11	0	4	52	2	10	8	19
"LOC256880"	0	16	2	1	6	10	4	11	0	5	31	5	3	31	0	6	11	6
"LOC257358"	0	3	1	2	2	14	0	1	2	2	0	5	0	0	0	3	0	8
"LOC257396"	168	151	15	101	227	67	80	153	20	18	319	26	59	101	26	51	210	61
"LOC283038"	0	2	0	0	0	1	2	15	0	0	0	2	0	6	0	0	0	0
"LOC283070"	232	3048	41	64	39	354	524	4804	37	70	128	108	213	1944	54	74	63	334
"LOC283177"	17	22	0	0	108	13	47	109	0	0	19	0	75	15	0	0	173	9
"LOC283194"	2	0	0	0	0	4	2	0	0	0	4	4	0	0	0	0	2	5
"LOC283214"	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"LOC283299"	0	0	0	2	4	72	0	3	0	0	3	29	0	0	0	0	1	54
"LOC283332"	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
"LOC283335"	16	62	19	34	49	43	49	91	16	29	70	42	13	66	24	57	55	29
"LOC283403"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC283440"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"LOC283585"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC283587"	37	0	0	0	2	0	53	0	0	0	2	0	45	0	1	0	0	0
"LOC283683"	1	289	9	42.99	12	26	0	434.67	1	6	34	20	5	288	10	25	12	36
"LOC283685"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC283692"	0	17	0	0	1	3	0	25	1	0	0	1	0	17	0	2	2	4
"LOC283693"	2	2	0	0	8	1	12	3	0	1	2	4	0	2	1	2	3	4
"LOC283710"	0	0	0	0	0	4	2	0	0	0	0	2	2	0	0	0	0	1
"LOC283731"	0	33	1	7	1	7	0	61	3	10	1	2	0	4	13	13	0	5
"LOC283767"	0	1	0	1	0	4.94	0	0.71	0	0	0	0	0	0	0	0	0	0
"LOC283856"	26	58	0	17	5	2	30	103	0	10	9	1	22	86	2	13	3	0
"LOC283914"	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"LOC283922"	170.34	224.05	97.64	230.45	556.96	409.1	227.22	436.98	106.52	147.84	433.71	827.1	262.55	564.66	196.18	254.44	642.35	395.58
"LOC284009"	0	0	2	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0
"LOC284023"	14	90	2	20.97	70.38	149.07	0	176	17	21.83	123.44	80.83	17	247.92	19.86	36.83	95	100.86
"LOC284080"	0	0	0	5	8	33	0	21	0	0	7	58	1	18	1	4	11	57
"LOC284100"	0	0	0	0	67	0	0	1	0	0	33	0	6	6	0	0	132	0
"LOC284294"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC284344"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC284379"	0	0	0	0	0	2	0	0	0	0	0	2	0	0	5	0	0	1
"LOC284385"	54	114	20	50	143	110	49	113	19	29	168	56	61	135	26	41	187	65
"LOC284395"	0	15	0	0	0	0	0	29	0	0	0	0	0	9	0	0	0	0
"LOC284412"	2	48.07	1	24.6	136.92	13.68	20	191.57	1	45	45.83	34	3	121.73	0	92.29	49	3
"LOC284454"	3	0	31	37	42	145	6	13	29	83	156	77	4	3	36	83	50	105
"LOC284551"	0	0	0	0	2	7	0	0	0	0	31	1	1	0	0	0	9	1
"LOC284578"	0	141	9	3	2691	73	0	326	0	9	3291	73	2	134	0	1	1639	71
"LOC284581"	0	6	0	0	0	0	29	361	108	220	137	181	0	3	0	6	0	3
"LOC284632"	0	0	0	0	0	5	0	1	0	0	0	0	0	9	0	0	0	0
"LOC284648"	2	0	1	1	2	3	0	4	3	2	8	6	1	6	4	5	2	2
"LOC284661"	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0
"LOC284688"	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"LOC284751"	131	3	17	8	8	40	69	16	6	3	1	2	65	0	26	17	6	8
"LOC284757"	2	15	3	102	19	21	11	24	6	26	8	12	12	8	19	121	40	20
"LOC284788"	6	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0
"LOC284798"	0	9	0	0	0	0	0	27	0	0	0	0	0	21	0	0	0	0
"LOC284801"	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1
"LOC284837"	7	1	3	2	10	227	22	0	0	0	26	308	11	1	2	9	14	267
"LOC284865"	2	0	4	0	0	23	0	0	0	4	2	5	3	35	2	9	6	0
"LOC284889"	48	7	4	3	23	34	130	7	1	5	11	37	30	6	1	9	39	30
"LOC284912"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC284933"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC284950"	2	1	7	6	2	33	1	5	0	9	14	7	3	1	5	5	2	35
"LOC284998"	0	120	0	0	10	1	0	253	1	0	38	0	0	135	0	0	4	0
"LOC285000"	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
"LOC285033"	25	66	65	48	62	47	61	118	93	21	62	61	33	72	110	23	81	53
"LOC285074"	418.06	295.13	339.96	315.53	298.25	416.96	970.51	685.56	265.6	168.2	462.48	381.34	660.45	967.25	217.85	224.33	280.15	333.7
"LOC285084"	0	7	0	0	0	0	0	8	2	0	0	6	0	0	0	0	0	0
"LOC285419"	7	3	44	38	46	156	2	6	172	59	25	22	7	8	128	70	56	42
"LOC285441"	0	15	1	0	5	0	0	7	0	0	2	2	1	19	0	0	21	0
"LOC285484"	0	158	1	1	0	0	0	302	0	0	0	0	0	33	3	1	0	0
"LOC285501"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC285540"	4	7	5	7	18	28	9	22	21	3	27	15	23	22	29	6	36	13
"LOC285547"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC285548"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC285577"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"LOC285593"	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0
"LOC285626"	0	0	0	0	0	6	0	4	1	0	0	2	2	5	0	0	0	2
"LOC285627"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC285629"	0	0	0	0	24	10	0	1	0	0	40	1	0	0	0	1	16	6
"LOC285692"	0	1	0	0	0	2	0	0	1	0	0	0	0	6	0	0	0	0
"LOC285696"	0	226	0	0	1	1	0	478	0	1	0	0	0	52	0	0	0	0
"LOC285740"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC285758"	85	3	0	8	95	42	122	32	0	5	26	99	145	50	3	6	116	33
"LOC285762"	0	0	3	0	0	1	0	0	0	0	0	6	1	0	0	0	0	0
"LOC285768"	0	15	2	0	322	17	0	18	0	0	4	1	2	2	1	0	442	4
"LOC285819"	0	0	0	0	0	0	0	1	1	0	1	7	0	1	2	0	0	0
"LOC285847"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"LOC285878"	0	373.04	0	1	0	0	0	401.19	0	0	0	0	0	3	0	0	0	0
"LOC285889"	0	5	0	0	9	1	0	18	0	0	8	1	0	2	0	3	9	4
"LOC285972"	0	5	1	1	3	49	0	13	5	0	1	27	4	7	0	2	1	56
"LOC286059"	0	5	3	0	1	0	0	0	0	0	0	1	1	0	0	0	2	1
"LOC286083"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"LOC286094"	0	0	6	0	0	4	0	1	4	0	0	0	0	0	1	0	0	0
"LOC286114"	15	0	0	0	0	0	19	0	0	0	0	0	17	0	0	0	0	0
"LOC286135"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC286177"	0	0	0	0	6	0	0	0	0	0	0	3	0	0	0	0	0	0
"LOC286184"	0	8	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0
"LOC286186"	0	6	3	0	0	0	0	9	0	0	0	0	0	3	0	0	0	0
"LOC286189"	0	10	0	1	3	80.82	0	17.74	0	0	42.71	46.01	0	83.95	0	0	1	129.26
"LOC286190"	0	0	0	0	0	0	3	1	0	1	0	1	0	2	0	0	0	0
"LOC286238"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC286297"	4	0	14	124.26	48.84	1	0	15.69	16	38.54	6	3.49	6	1	16.65	99.67	26.65	0
"LOC286359"	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
"LOC286367"	3	94	157	196	16	37	5	145	166	38	42	35	18	47	226	109	30	16
"LOC286370"	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
"LOC286437"	84	147	74	224	168	191	67	245	68	91	141	206	93	409	101	159	185	224
"LOC286442"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC286467"	7	22	0	3	5	29	0	27	1	6	16	28	7	26	2	9	1	30
"LOC338797"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC338799"	28	62.94	50.05	19.65	92.67	62.37	56.09	74.9	17.74	26.59	153.89	62.08	39.94	137.83	36	27.7	89.34	47.07
